movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score
A Man Apart,36,2003-04-04,34489566.42,2003-04-04,105.0,R,Action,New Line,F. Gary Gray,"Michael De Luca, ,(executive),Vin Diesel,Tucker Tooley,George Zakk, ,(co-producer)",46440000.0,2495.0,"Vin Diesel,Timothy Olyphant",,,,4,2003,1.29,13823.473515,135074452.788
A Midsummer Night's Dream,61,1999-05-14,22982945.7,1999-05-14,116.0,PG-13,Period Comedy,Fox Searchlight,Michael Hoffman,"Arnon Milchan, ,(executive producer)",15730000.0,1099.0,"Kevin Kline,Michelle Pfeiffer,Rupert Everett,Stanley Tucci,Calista Flockhart,Anna Friel,Christian Bale,Dominic West,David Strathairn,Sophie Marceau,Sam Rockwell",,,,5,1999,1.43,20912.5984531,127120029.0
A Mighty Heart,74,2007-06-22,10553305.05,2007-06-22,108.0,R,War Drama,Paramount Vantage,Michael Winterbottom,"Dede Gardner,Brad Pitt",18400000.0,1355.0,Angelina Jolie,John Orloff,,,6,2007,1.15,7788.41701107,77589651.574
A Million Ways to Die in the West,44,2014-05-30,43570693.0,2014-05-30,116.0,R,Western Comedy,Universal,Seth MacFarlane,"Jason Clark,Seth MacFarlane,Scott Stuber",40400000.0,3160.0,"Seth MacFarlane,Charlize Theron,Liam Neeson,Amanda Seyfried,Sarah Silverman,Giovanni Ribisi,Neil Patrick Harris","Seth MacFarlane,Alec Sulkin,Wellesley Wild",,,5,2014,1.01,13788.1939873,196999804.56
A Most Violent Year,79,2014-12-31,5806625.34,2014-12-31,125.0,R,Drama / Thriller,A24,J.C. Chandor,,20200000.0,818.0,"Oscar Isaac,Jessica Chastain,David Oyelowo,Albert Brooks",J.C. Chandor,,,12,2014,1.01,7098.56398533,102054009.774
A Perfect Getaway,63,2009-08-07,17222160.6,2009-08-07,97.0,R,Thriller,Universal,David Twohy,"Mark Canton,Ryan Kavanaugh,Tucker Tooley",15540000.0,2159.0,"Chris Hemsworth,Milla Jovovich,Steve Zahn,Timothy Olyphant",David Twohy,,,8,2009,1.11,7976.91551644,70877357.1483
A Single Man,77,2009-12-11,10185360.0,2009-12-11,99.0,R,Drama,Weinstein Company,Tom Ford,Chris Weitz,7770000.0,354.0,"Colin Firth,Julianne Moore,Nicholas Hoult,Matthew Goode,Ginnifer Goodwin,Jon Hamm*",,,,12,2009,1.11,28772.2033898,83662171.28
A Sound of Thunder,24,2005-09-02,2318550.22,2005-09-02,103.0,PG-13,Sci-Fi Horror,Warner Bros.,Peter Hyams,,97600000.0,816.0,"Edward Burns,Catherine McCormack,Ben Kingsley,David Oyelowo","Thomas Dean Donnelly,Joshua Oppenheimer",,Nick Glennie-Smith,9,2005,1.22,2841.36056373,88348761.4267
A Very Long Engagement,76,2004-11-26,8220730.14,2004-11-26,134.0,R,Foreign,Warner Independent,Jean-Pierre Jeunet,"Bill Gerber, ,(executive)",71316000.0,219.0,"Audrey Tautou,Jodie Foster*",Jean-Pierre Jeunet,,,11,2004,1.26,37537.5805479,44522168.66
A Walk Among the Tombstones,57,2014-09-19,26570676.0,2014-09-19,114.0,R,Drama,Universal,Scott Frank,"Danny DeVito,Michael Shamberg,Stacey Sher",28280000.0,2714.0,"Liam Neeson,Dan Stevens,Boyd Holbrook",Scott Frank,,Carlos Rafael Rivera,9,2014,1.01,9790.22697126,109479344.106
