movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Breezy,,1973-11-18 00:00:00,107,R,Unknown,Universal,Clint Eastwood,,N/A,,,,,
Brenda Starr,67878,1992-04-17 00:00:00,93,PG,Unknown,Triumph,,,N/A,48,,,,
Brewster's Millions,40833132,1985-05-22 00:00:00,102,PG,Comedy,Universal,Walter Hill,"Lawrence Gordon,Joel Silver",N/A,"1,521",,,,
Brick,2075743,2006-03-31 00:00:00,110,R,Drama / Thriller,Focus Features,Rian Johnson,Ram Bergman,N/A,45,"Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin",Rian Johnson,,Nathan Johnson
Brick Lane,1095398,2008-06-20 00:00:00,101,PG-13,Drama,Sony Classics,,,N/A,49,,Abi Morgan,,
Brick Mansions,20396829,2014-04-25 00:00:00,90,PG-13,Action,Relativity,Camille Delamarre,"Matt Alvarez, ,(executive),Luc Besson,Ryan Kavanaugh,Tucker Tooley",$28 million,"2,647","Paul Walker,David Belle,RZA","Luc Besson,Bibi Naceri",,
The Bride,3558669,1985-08-16 00:00:00,119,PG-13,Unknown,Columbia,,,N/A,980,"Sting,Jennifer Beals,Cary Elwes",,,
The Bride & The Grooms,5995,2009-04-24 00:00:00,99,Unrated,Comedy,Sumbadhat Productions,,,N/A,15,,,,
Bride and Prejudice,6605592,2005-02-11 00:00:00,111,PG-13,Romance,Miramax,,,$7 million,288,,,,
The Bride Came C.O.D.,,1941-07-12 00:00:00,92,Unrated,Romantic Comedy,Warner Bros.,William Keighley,"Hal B. Wallis ,(executive)",N/A,,"James Cagney,Bette Davis,Stuart Erwin,Jack Carson,Eugene Pallette,George Tobias","Julius J. Epstein,Philip G. Epstein",Ernest Haller,Max Steiner
Bride Flight,501360,2011-06-10 00:00:00,130,R,Drama,Music Box Films,,,N/A,27,,,,
Bride of Chucky,32383850,1998-10-16 00:00:00,89,R,Horror Comedy,Universal,Ronny Yu,,$25 million,"2,467","Jennifer Tilly,Katherine Heigl",,,Graeme Revell
Bride of Frankenstein,,1935-04-22 00:00:00,75,Unrated,Horror,Universal,James Whale,"Carl Laemmle, Jr.",N/A,,"Boris Karloff,Colin Clive,Valerie Hobson,Ernest Thesiger,Elsa Lanchester,O.P. Heggie",William Hurlbut,John Mescall,Franz Waxman
Bride of the Monster,,1956-02-16 00:00:00,69,Unrated,Unknown,Unknown,,,N/A,,,,,
Bride of the Wind,,2001-06-08 00:00:00,99,R,Historical Drama,Paramount Classics,Bruce Beresford,,N/A,42,"Sarah Wynter,Jonathan Pryce,Vincent Perez",,,
Bride Wars,58715510,2009-01-09 00:00:00,90,PG,Comedy,Fox,Gary Winick,"Arnon Milchan, ,(executive),Julie Yorn",$30 million,"3,228","Kate Hudson,Anne Hathaway,Kristen Johnson,Bryan Greenberg,Candice Bergen,Chris Pratt",,,Ed Shearmur
The Bride Wore Black (2011 re-release),44566,2011-11-04 00:00:00,107,Unrated,Foreign,The Film Desk,,,N/A,2,,,,
Brideshead Revisited,6432256,2008-07-25 00:00:00,133,PG-13,Period Drama,Miramax,,,N/A,501,"Matthew Goode,Ben Whishaw,Hayley Atwell,Emma Thompson,Michael Gambon,Greta Scacchi*,Felicity Jones*","Jeremy Brock,Andrew Davies",,
The Bridesmaid,111728,2006-08-04 00:00:00,110,Unrated,Foreign,First Run,,,N/A,6,,,,
Bridesmaids,169106725,2011-05-13 00:00:00,125,R,Comedy,Universal,Paul Feig,"Judd Apatow,Barry Mendel,Clayton Townsend",$32.5 million,"2,958","Kristen Wiig,Maya Rudolph,Rose Byrne,Melissa McCarthy,Ellie Kemper,Wendi McLendon-Covey,Jon Hamm,Rebel Wilson*","Annie Mumolo,Kristen Wiig",,
The Bridge,179780,2006-10-27 00:00:00,93,R,Documentary,First Stripe Productions,,,N/A,19,,,,
The Bridge of San Luis Rey,49981,2005-06-10 00:00:00,120,PG,Period Drama,Fine Line,,Samuel Hadida,$24 million,6,"Robert DeNiro,Kathy Bates",,,
Bridge of Spies,72313754,2015-10-16 00:00:00,140,PG-13,Thriller,Buena Vista,Steven Spielberg,"Daniel Lupi, ,(executive),Marc Platt,Steven Spielberg",$40 million,"2,873","Jesse Plemons,Mark Rylance,Tom Hanks,Amy Ryan,Alan Alda","Ethan Coen,Joel Coen",,Thomas Newman
The Bridge on the River Kwai,27200000,1957-12-18 00:00:00,161,PG,War Drama,Columbia,,,$3 million,,,,,
Bridge to Terabithia,82272442,2007-02-16 00:00:00,95,PG,Fantasy,Buena Vista,,"Alex Schwartz, ,(executive)",N/A,"3,210","Josh Hutcherson,AnnaSophia Robb,Zooey Deschanel,Robert Patrick",,,Aaron Zigman
A Bridge Too Far,50750000,1977-06-15 00:00:00,176,PG,War,United Artists,,,$27 million,,"James Caan,Michael Caine,Sean Connery,Elliott Gould,Gene Hackman,Anthony Hopkins,Ryan O'Neal,Robert Redford",,,
The Bridges of Madison County,71516617,1995-06-02 00:00:00,135,PG-13,Romance,Warner Bros.,Clint Eastwood,"Clint Eastwood,Kathleen Kennedy",$24 million,"1,986","Clint Eastwood,Meryl Streep",Richard LaGravenese,,"Clint Eastwood*, ,(song)"
Bridget Jones's Baby,,2016-09-16 00:00:00,,Unknown,Romantic Comedy,Universal,Sharon Maguire,,$35 million,,"Colin Firth,Renee Zellweger",,,
Bridget Jones's Diary,71543427,2001-04-13 00:00:00,97,R,Romantic Comedy,Miramax,Sharon Maguire,"Tim Bevan,Eric Fellner",$25 million,"2,547","Renee Zellweger,Hugh Grant,Jim Broadbent,Colin Firth",Andrew Davies,"Stuart Dryburgh, ,(director of photography)",Patrick Doyle
Bridget Jones: The Edge of Reason,40226215,2004-11-12 00:00:00,108,R,Romantic Comedy,Universal,Beeban Kidron,"Tim Bevan,Eric Fellner",$40 million,"2,473","Renee Zellweger,Hugh Grant,Jim Broadbent,Colin Firth","Adam Brooks,Andrew Davies",,Harry Gregson-Williams
