movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
A Very Long Engagement,76,2004-11-26,8220730.14,2004-11-26,134.0,R,Foreign,Warner Independent,Jean-Pierre Jeunet,"Bill Gerber, ,(executive)",71316000.0,219.0,"Audrey Tautou,Jodie Foster*",Jean-Pierre Jeunet,,,11,2004,1.26,37537.5805479,44522168.66,28471215.8925
A Walk Among the Tombstones,57,2014-09-19,26570676.0,2014-09-19,114.0,R,Drama,Universal,Scott Frank,"Danny DeVito,Michael Shamberg,Stacey Sher",28280000.0,2714.0,"Liam Neeson,Dan Stevens,Boyd Holbrook",Scott Frank,,Carlos Rafael Rivera,9,2014,1.01,9790.22697126,109479344.106,60187807.3484
Abandon,36,2002-10-18,14160541.56,2002-10-18,99.0,PG-13,Thriller,Paramount,,"Gary Barber,Roger Birnbaum,Lynda Obst,Richard Vane, ,(executive),Edward Zwick",33000000.0,2347.0,"Katie Holmes,Benjamin Bratt,Zooey Deschanel",,,Clint Mansell,10,2002,1.32,6033.46466127,64068403.94,81735886.3157
Abduction,25,2011-09-23,29772384.3,2011-09-23,106.0,PG-13,Action,Lionsgate,John Singleton,"Patrick Crowley,Doug Davison,Roy Lee",37100000.0,3118.0,"Taylor Lautner,Lily Collins,Alfred Molina,Jason Isaacs,Maria Bello,Michael Nyqvist,Sigourney Weaver,Elisabeth Rohm*",,,Ed Shearmur,9,2011,1.06,9548.55173188,259087068.397,138949973.596
About a Boy,75,2002-05-17,54628566.96,2002-05-17,100.0,PG-13,Comedy / Drama,Universal,,"Tim Bevan,Eric Fellner,Nick Hornby",39600000.0,1756.0,"Hugh Grant,Nicholas Hoult,Toni Collette,Rachel Weisz","Peter Hedges,Nick Hornby,Chris Weitz,Paul Weitz",,,5,2002,1.32,31109.6622779,187262038.487,57401281.01
About Schmidt,85,2002-12-13,85821498.84,2002-12-13,124.0,R,Comedy / Drama,New Line,Alexander Payne,Bill Badalato,39600000.0,1240.0,"Jack Nicholson,Kathy Bates",Alexander Payne,,Rolfe Kent,12,2002,1.32,69210.8861613,169698131.2,42554062.396
Abraham Lincoln: Vampire Hunter,42,2012-06-22,39019904.56,2012-06-22,105.0,R,Horror Thriller,Fox,Timur Bekmambetov,"Timur Bekmambetov,Tim Burton,Seth Grahame-Smith, ,(executive),Simon Kinberg, ,(executive)",71760000.0,3109.0,"Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,Marton Csokas","Seth Grahame-Smith,Simon Kinberg",,Henry Jackman,6,2012,1.04,12550.628678,90659875.6225,100378362.673
Accepted,47,2006-08-18,42861735.9,2006-08-18,90.0,PG-13,Comedy,Universal,Steve Pink,"Michael Bostick,Tom Shadyac",27140000.0,2917.0,"Justin Long,Blake Lively,Jonah Hill,Kellan Lutz","Bill Collage,Adam Cooper",,,8,2006,1.18,14693.7730202,83798809.3571,176638317.345
Admission,48,2013-03-22,18367463.34,2013-03-22,117.0,PG-13,Comedy / Drama,Focus Features,Paul Weitz,Paul Weitz,13260000.0,2161.0,"Tina Fey,Paul Rudd,Michael Sheen,Wallace Shawn,Lily Tomlin",Karen Croner,,Stephen Trask,3,2013,1.02,8499.5202869,452355319.2,99276538.9
After Earth,33,2013-05-31,61732538.94,2013-05-31,100.0,PG-13,Sci-Fi,Sony / Columbia,M. Night Shyamalan,"Jada Pinkett-Smith,M. Night Shyamalan,Will Smith",132600000.0,3401.0,"Jaden Smith,Will Smith","M. Night Shyamalan,Gary Whitta",,James Newton Howard,5,2013,1.02,18151.2904852,179800265.665,140175215.548
